Timestamp,Alert Type,Source IP,Details,Severity
2026-05-20 12:37:19,PORT SCAN DETECTED,20.42.73.27,Tried 5 different ports — possible reconnaissance attack,HIGH
2026-05-20 12:37:19,PORT SCAN DETECTED,20.42.73.27,Tried 5 different ports — possible reconnaissance attack,HIGH
2026-05-20 12:37:19,PORT SCAN DETECTED,20.42.73.27,Tried 5 different ports — possible reconnaissance attack,HIGH
2026-05-20 12:37:19,PORT SCAN DETECTED,20.42.73.27,Tried 5 different ports — possible reconnaissance attack,HIGH
2026-05-20 12:37:19,PORT SCAN DETECTED,20.42.73.27,Tried 5 different ports — possible reconnaissance attack,HIGH
2026-05-20 12:37:19,PORT SCAN DETECTED,20.42.73.27,Tried 5 different ports — possible reconnaissance attack,HIGH
2026-05-20 12:37:19,PORT SCAN DETECTED,20.42.73.27,Tried 5 different ports — possible reconnaissance attack,HIGH
2026-05-20 12:37:19,PORT SCAN DETECTED,20.42.73.27,Tried 5 different ports — possible reconnaissance attack,HIGH
2026-05-20 12:37:19,PORT SCAN DETECTED,20.42.73.27,Tried 5 different ports — possible reconnaissance attack,HIGH
2026-05-20 12:37:19,PORT SCAN DETECTED,10.23.189.212,Tried 5 different ports — possible reconnaissance attack,HIGH
2026-05-20 12:37:21,PORT SCAN DETECTED,20.42.73.27,Tried 5 different ports — possible reconnaissance attack,HIGH
2026-05-20 12:37:21,PORT SCAN DETECTED,20.42.73.27,Tried 5 different ports — possible reconnaissance attack,HIGH
2026-05-20 12:37:23,BRUTE FORCE ATTACK DETECTED,20.42.65.91,30 rapid connections in 10 seconds,CRITICAL
2026-05-20 12:37:36,BRUTE FORCE ATTACK DETECTED,52.108.186.4,30 rapid connections in 10 seconds,CRITICAL
2026-05-20 12:37:39,PORT SCAN DETECTED,10.23.189.212,Tried 5 different ports — possible reconnaissance attack,HIGH
